name,price,profit
Share-YEYF,49.1,24.88
Share-GSPE,48.99,11.65
Share-NALT,48.96,11.63
Share-BRCC,48.93,33.39
Share-ETNQ,48.78,11.38
Share-JIZL,48.75,4.23
Share-GCAZ,48.58,3.23
Share-MKUX,48.55,4.8
Share-AOLT,48.53,36.44
Share-BDMW,48.51,19.39
Share-VHYI,48.31,30.0
Share-HERB,48.28,12.13
Share-VUSQ,47.69,0.16
Share-VONS,47.68,24.67
Share-QJZD,47.58,22.72
Share-XRVK,47.49,2.85
Share-GPGM,47.4,19.93
Share-FAHD,47.39,4.52
Share-HYNU,47.39,8.61
Share-JWXV,47.28,7.33
Share-EKHU,47.13,35.03
Share-MCJZ,47.05,6.57
Share-XKAM,47.01,38.1
Share-YRSC,47.0,38.3
Share-HTJD,46.96,28.99
Share-UBEA,46.85,4.92
Share-LGSU,46.79,18.58
Share-VOPM,46.57,10.32
Share-VBIE,46.52,1.98
Share-RPNK,46.37,3.24
Share-RWWJ,46.3,0.0
Share-EYGW,46.25,17.35
Share-CWIL,46.2,1.19
Share-UGTV,46.13,28.3
Share-BLKR,45.91,15.19
Share-CEBR,45.89,0.04
Share-GDNC,45.82,28.36
Share-TNHW,45.8,6.23
Share-MLNK,45.74,27.66
Share-RSQE,45.64,26.22
Share-PJBK,45.42,28.75
Share-QWHX,45.37,31.39
Share-QFPY,45.3,7.61
Share-XXLC,45.12,14.14
Share-IXFI,45.04,17.55
Share-TZKX,44.94,26.7
Share-TGMY,44.93,02.02
Share-UMIB,44.93,35.08
Share-ZXSD,44.62,21.01
Share-DDRH,44.61,23.06
Share-SNUW,44.48,8.52
Share-GSDZ,44.29,11.37
Share-XFNL,44.05,23.97
Share-JHTJ,44.04,25.57
Share-SBMG,43.85,24.85
Share-UNOG,43.84,18.65
Share-ZORL,43.63,16.57
Share-BFRJ,43.43,17.65
Share-ZECG,43.32,30.76
Share-TEET,43.2,37.93
Share-NNGR,43.15,15.09
Share-YLHV,43.01,35.12
Share-LHLG,42.98,28.34
Share-JHLP,42.97,37.12
Share-KAUS,42.96,29.36
Share-WPYY,42.88,13.95
Share-XKFR,42.85,13.22
Share-NFKM,42.83,16.48
Share-OSGU,42.76,9.62
Share-SPAR,42.66,10.72
Share-FIWE,42.56,9.34
Share-WPCD,42.55,34.32
Share-CQXK,42.48,19.54
Share-VSIP,42.36,13.16
Share-WYAL,42.12,15.21
Share-XJSP,42.08,03.03
Share-GBMB,41.91,11.82
Share-OGLE,41.9,10.45
Share-IIUJ,41.83,7.17
Share-YPRZ,41.82,18.21
Share-IKZL,41.63,18.98
Share-HHIZ,41.58,15.58
Share-LVQC,41.57,16.98
Share-ZIGX,41.52,13.39
Share-YVCE,41.5,24.53
Share-MTJQ,41.49,25.62
Share-KWZO,41.42,1.19
Share-MDAT,41.4,35.95
Share-PKXQ,41.39,9.75
Share-BHXC,41.14,19.5
Share-FYKQ,41.06,38.75
Share-LOKP,41.04,39.17
Share-IQHP,41.0,32.06
Share-RUPP,40.98,5.4
Share-DDWA,40.89,11.73
Share-SCKQ,40.89,36.29
Share-LJEO,40.87,25.07
Share-ZIZN,40.69,17.32
Share-AYBY,40.52,10.72
Share-DPMV,40.44,9.19
Share-OHHU,40.43,38.01
Share-KEYI,40.4,31.64
Share-HBGI,40.08,35.1
Share-QBZY,40.0,33.6
Share-WEOQ,4.82,13.53
Share-ZVEO,4.78,6.35
Share-BXTP,4.77,33.47
Share-GUCL,4.64,12.1
Share-QGUP,4.45,20.44
Share-EVUW,4.44,39.22
Share-TQVQ,4.41,11.48
Share-QDFN,4.26,20.6
Share-YVUQ,39.98,18.8
Share-GLOV,39.92,9.35
Share-LSBJ,39.9,19.83
Share-WMQI,39.87,23.15
Share-LJDU,39.86,37.22
Share-PWDG,39.72,12.54
Share-PWHJ,39.65,8.51
Share-SFMQ,39.61,5.27
Share-HMCY,39.53,34.81
Share-CZIZ,39.47,32.75
Share-KPMF,39.44,22.13
Share-ZLGB,39.41,36.67
Share-SXZH,39.35,8.81
Share-LPDM,39.35,39.73
Share-LOBE,39.3,31.97
Share-WBLU,39.29,3.32
Share-KTYA,39.18,25.4
Share-YYBB,39.15,0.35
Share-XLQD,39.13,14.95
Share-AQZD,39.1,32.4
Share-ZYBC,39.09,28.26
Share-THCY,39.05,6.32
Share-OLCV,38.97,13.15
Share-WJZJ,38.96,26.3
Share-KCEB,38.89,6.34
Share-WGNW,38.88,24.0
Share-NQQC,38.86,10.16
Share-SUDI,38.72,25.01
Share-JJNV,38.71,14.41
Share-DSKL,38.68,20.93
Share-WITL,38.65,6.37
Share-TFNF,38.63,33.34
Share-GOEX,38.41,20.84
Share-NFGO,38.33,36.59
Share-IYEW,38.32,36.79
Share-GYWT,38.32,3.9
Share-LAHI,38.29,16.15
Share-RLHB,38.23,4.46
Share-BAOJ,38.2,28.36
Share-QXLZ,38.15,23.07
Share-UYOE,38.08,0.62
Share-CZAX,38.05,30.64
Share-QGXD,38.05,21.13
Share-NWSG,38.03,15.32
Share-VRCA,37.94,15.52
Share-CPWU,37.92,38.28
Share-RDHG,37.82,0.45
Share-MMFR,37.78,38.54
Share-IFTU,37.65,13.98
Share-LTEB,37.59,0.25
Share-NVVV,37.44,7.52
Share-DRXI,37.42,38.05
Share-TNCT,37.36,18.23
Share-CBNP,37.33,11.56
Share-GXSF,37.2,37.15
Share-TFVA,37.16,37.69
Share-MEPT,37.14,30.4
Share-BAPF,37.14,10.33
Share-DGFR,37.13,32.1
Share-RBXY,37.09,31.65
Share-DBMG,37.07,38.12
Share-KYHO,37.05,29.07
Share-QUXB,36.97,36.08
Share-VRIE,36.95,32.22
Share-AXIX,36.82,20.38
Share-CBTR,36.81,5.71
Share-GMUB,36.8,17.7
Share-AAZC,36.78,18.71
Share-OZCM,36.69,30.53
Share-MNMP,36.64,10.47
Share-DBFE,36.63,33.34
Share-NZMA,36.61,22.14
Share-TRSF,36.6,20.63
Share-CAEQ,36.56,39.17
Share-SZEE,36.55,23.72
Share-LZSG,36.54,18.45
Share-OOUK,36.53,12.05
Share-DDUF,36.49,11.67
Share-ELHS,36.47,01.05
Share-RZCS,36.45,12.78
Share-DQRQ,36.38,10.85
Share-HUIT,36.37,17.87
Share-JAGI,36.36,35.92
Share-OAOX,36.3,31.47
Share-MLVQ,36.23,8.13
Share-GUQG,36.18,24.94
Share-WZHT,36.02,24.81
Share-WVTR,35.99,29.65
Share-DTZY,35.96,19.34
Share-BECH,35.91,3.26
Share-SEBO,35.85,14.79
Share-WUWO,35.81,20.15
Share-HIAN,35.75,19.1
Share-IFPU,35.66,20.67
Share-QIGP,35.59,22.63
Share-TTVT,35.43,25.51
Share-SWES,35.4,28.86
Share-LQXO,35.36,13.93
Share-UKXZ,35.19,7.27
Share-KOUD,35.09,35.93
Share-YHNK,35.09,11.16
Share-EBOY,35.08,27.99
Share-XAZS,35.02,29.32
Share-XPZF,35.01,33.65
Share-URMZ,34.99,38.89
Share-VGRH,34.98,9.17
Share-DUET,34.93,11.58
Share-PYDS,34.9,30.69
Share-LSZT,34.9,39.19
Share-HQIF,34.88,15.13
Share-OTLF,34.81,35.31
Share-HODN,34.8,7.29
Share-YZFJ,34.75,11.89
Share-DLGZ,34.71,33.88
Share-QJZG,34.68,19.21
Share-BKDN,34.66,18.97
Share-ZQDO,34.64,10.06
Share-WPLI,34.64,39.91
Share-PEQK,34.63,24.37
Share-XXBE,34.62,1.17
Share-BORU,34.6,23.87
Share-XZNX,34.59,3.14
Share-GFJZ,34.57,26.08
Share-KEUJ,34.5,17.23
Share-LHKD,34.45,16.51
Share-NKUT,34.4,24.93
Share-SIRR,34.39,26.68
Share-RUMG,34.34,7.42
Share-VPMV,34.12,9.71
Share-XBIG,34.11,0.37
Share-XOBN,34.06,2.33
Share-CFUF,34.05,7.67
Share-NWDK,33.94,5.75
Share-FVNN,33.93,31.26
Share-APNK,33.9,26.71
Share-VYWQ,33.85,30.44
Share-NBSA,33.83,34.41
Share-OELG,33.83,3.85
Share-VLOZ,33.81,21.62
Share-CYLT,33.73,24.2
Share-WYJO,33.73,31.99
Share-YOET,33.67,3.55
Share-NOPE,33.63,1.17
Share-AQKA,33.58,22.08
Share-XOFE,33.55,11.84
Share-WDYF,33.55,27.54
Share-MKTB,33.42,17.53
Share-UEIV,33.41,30.66
Share-ZTDP,33.38,6.81
Share-FVVN,33.3,4.3
Share-SJAK,33.2,12.93
Share-QQTU,33.19,39.6
Share-CLIJ,33.15,23.23
Share-HXDE,33.15,22.02
Share-IQED,33.12,34.59
Share-JTQE,33.07,30.91
Share-FZFY,33.03,3.98
Share-GZHU,33.02,24.56
Share-INSV,32.9,34.47
Share-LRBZ,32.9,39.95
Share-URDO,32.8,12.91
Share-SHFZ,32.79,27.62
Share-IBSP,32.78,29.57
Share-LRYZ,32.77,38.16
Share-MLUC,32.69,28.29
Share-YEYV,32.67,2.59
Share-YECK,32.66,29.22
Share-ACQS,32.62,1.61
Share-VOEF,32.38,5.72
Share-FUUQ,32.33,3.69
Share-DIGK,32.32,11.87
Share-KMDP,32.23,22.12
Share-LNBX,32.12,24.04
Share-QPRB,32.06,5.19
Share-LWHP,32.0,29.24
Share-LBSY,31.98,23.16
Share-VIRY,31.94,1.84
Share-OVCD,31.92,10.1
Share-OJRZ,31.68,1.1
Share-CVPG,31.65,17.69
Share-GGLB,31.58,35.12
Share-IZCN,31.52,12.4
Share-OFZD,31.48,13.78
Share-CVFX,31.44,14.22
Share-QAIJ,31.42,33.11
Share-TSLL,31.42,7.71
Share-LGWG,31.41,39.5
Share-THNO,31.4,17.82
Share-WPTD,31.35,10.62
Share-XLQI,31.33,32.56
Share-MVRZ,31.33,7.6
Share-MOXN,31.29,1.79
Share-ZEIM,31.25,16.18
Share-OLCM,31.19,26.9
Share-XPEO,31.13,27.06
Share-TVRM,31.06,6.63
Share-JEAI,31.06,29.46
Share-XBOW,30.98,8.13
Share-GYNX,30.96,38.27
Share-MPUS,30.96,27.33
Share-TDXX,30.93,14.84
Share-URAA,30.91,25.18
Share-GMPX,30.86,7.59
Share-NTQC,30.85,17.09
Share-VEOO,30.85,23.97
Share-NJKY,30.73,37.82
Share-UFXW,30.73,12.44
Share-IMGN,30.72,33.04
Share-TTLC,30.69,38.68
Share-NHKZ,30.69,0.98
Share-OLUI,30.68,27.29
Share-JNUW,30.61,17.58
Share-RDQM,30.61,1.66
Share-IAFR,30.57,4.82
Share-KJRG,30.57,31.64
Share-JPRI,30.54,30.15
Share-VNTG,30.54,25.47
Share-UIWH,30.41,24.69
Share-CBLS,30.38,10.95
Share-MHUT,30.36,21.24
Share-XDUU,30.33,3.26
Share-VBXG,30.23,35.48
Share-OWCV,30.21,0.74
Share-RGMB,30.2,31.47
Share-QSOQ,30.15,0.71
Share-ODFR,30.14,11.81
Share-FRBU,30.13,9.56
Share-SGHI,30.02,2.93
Share-OFWH,30.0,11.97
Share-YVIJ,3.94,29.38
Share-EPCT,3.91,15.96
Share-QQGZ,3.82,32.14
Share-QEDS,3.78,13.74
Share-RKNE,3.69,10.06
Share-FYUX,3.68,19.51
Share-BMWW,3.65,31.45
Share-GSGQ,3.57,13.5
Share-HDZP,3.48,2.41
Share-IKCF,3.37,5.17
Share-YAFK,29.93,21.64
Share-WFZZ,29.81,35.78
Share-KRLT,29.73,20.48
Share-JUBL,29.67,2.33
Share-QUWM,29.64,30.36
Share-ITTV,29.61,24.14
Share-PTYE,29.58,8.13
Share-FMLL,29.57,26.31
Share-WALV,29.53,27.89
Share-EBAM,29.48,4.87
Share-LPSQ,29.44,36.73
Share-TIRJ,29.33,12.78
Share-EFWR,29.32,1.82
Share-DFKO,29.28,24.73
Share-ZEPQ,29.27,30.6
Share-SULM,29.26,16.44
Share-QIID,29.25,11.64
Share-GNJC,29.25,3.29
Share-IFCP,29.23,39.88
Share-OTFE,29.23,15.95
Share-NHWA,29.18,39.77
Share-QTKW,29.15,35.04
Share-WMOU,29.0,34.42
Share-TDWK,29.0,14.57
Share-KZBL,28.99,39.14
Share-QPSA,28.95,29.9
Share-CPNV,28.84,6.96
Share-LTLT,28.67,16.65
Share-TLJJ,28.65,13.75
Share-ZQNA,28.59,12.42
Share-QKDN,28.55,39.21
Share-PCSR,28.48,0.93
Share-GHNY,28.45,17.58
Share-VGUF,28.44,12.75
Share-XGXY,28.39,36.2
Share-LDCO,28.36,13.65
Share-FJIK,28.32,34.49
Share-URKJ,28.32,36.08
Share-OTAO,28.29,20.29
Share-RAOW,28.24,6.94
Share-YGKX,28.18,33.33
Share-AHQO,28.18,15.38
Share-GROK,28.16,08.05
Share-GHIZ,28.0,39.89
Share-BEQY,27.96,37.91
Share-CVKQ,27.89,06.06
Share-CXDL,27.89,14.17
Share-OQCA,27.85,22.51
Share-BVMS,27.84,4.51
Share-RTTA,27.78,3.26
Share-EIZH,27.73,14.51
Share-DRRI,27.64,20.85
Share-YQTP,27.63,21.53
Share-OEDD,27.56,21.18
Share-FTJN,27.52,16.79
Share-UZPA,27.49,4.4
Share-HRDA,27.45,33.65
Share-IVRI,27.35,38.76
Share-XKDC,27.34,03.05
Share-FSTB,27.28,12.6
Share-CZZS,27.26,31.2
Share-SALE,27.25,33.45
Share-BMTW,27.23,16.76
Share-ICYR,27.21,5.0
Share-AZDM,27.17,24.7
Share-HLJY,26.98,5.54
Share-PFEQ,26.95,12.54
Share-TWXB,26.92,1.34
Share-QCRM,26.91,16.97
Share-GLAO,26.86,26.56
Share-REMR,26.84,32.94
Share-XQQA,26.78,9.35
Share-ICKP,26.65,19.6
Share-RSRH,26.64,31.39
Share-PYSY,26.63,30.28
Share-YXVL,26.62,22.79
Share-IDWW,26.58,22.0
Share-ZJWM,26.58,32.21
Share-ZSZF,26.57,19.68
Share-BPBC,26.55,15.5
Share-XRNJ,26.54,21.03
Share-APJH,26.51,38.5
Share-SJIV,26.49,33.61
Share-MKXO,26.44,19.97
Share-SRHN,26.36,34.08
Share-SIVL,26.31,23.06
Share-CQYF,26.26,0.65
Share-GERI,26.26,25.32
Share-JGPU,26.21,24.23
Share-KFOQ,26.19,17.4
Share-LQHP,26.14,4.73
Share-ZRWP,25.99,6.72
Share-BQZO,25.92,0.02
Share-BOZY,25.86,13.2
Share-FCIM,25.84,32.99
Share-YDJK,25.79,12.25
Share-NFNZ,25.77,18.88
Share-TOHR,25.74,9.53
Share-VBQT,25.73,35.61
Share-JEQJ,25.73,23.34
Share-YYEN,25.73,4.43
Share-MGCH,25.72,22.28
Share-AIQL,25.69,33.68
Share-NVXL,25.66,19.29
Share-TZIJ,25.62,1.75
Share-USSR,25.62,39.56
Share-BDME,25.61,0.62
Share-WMHE,25.47,18.35
Share-AQOR,25.45,35.47
Share-BGRQ,25.39,11.63
Share-EFHD,25.31,19.81
Share-BHYK,25.29,17.91
Share-FVTC,25.28,23.61
Share-HQDA,25.28,7.95
Share-KMOP,25.25,33.24
Share-OGGC,25.25,17.07
Share-EJLA,25.25,22.63
Share-EMNG,25.21,4.2
Share-DXOW,24.99,38.75
Share-HPYJ,24.88,19.82
Share-SKKC,24.87,39.49
Share-UEZB,24.87,39.43
Share-OFJC,24.83,3.66
Share-JCPU,24.77,10.79
Share-VNXO,24.73,25.05
Share-DSJF,24.72,2.94
Share-VCWF,24.71,28.83
Share-GEYL,24.68,18.23
Share-JYBM,24.65,38.04
Share-SJNY,24.61,17.43
Share-JEZT,24.55,7.96
Share-WSYK,24.52,25.99
Share-YMFX,24.46,32.96
Share-NTBS,24.42,10.33
Share-NUAX,24.42,35.44
Share-GFKM,24.37,36.16
Share-KMEM,24.35,33.9
Share-WVNM,24.33,8.21
Share-ZHNO,24.32,21.42
Share-WYIT,24.23,21.43
Share-OKTW,24.15,24.26
Share-MXMO,23.99,15.87
Share-HKFP,23.97,19.66
Share-RGDB,23.95,24.47
Share-SMUS,23.92,33.62
Share-NYRP,23.91,14.05
Share-CNVT,23.78,33.52
Share-EAIO,23.78,37.86
Share-MYXT,23.78,30.09
Share-UFQB,23.77,25.16
Share-ROHB,23.75,30.7
Share-ISXU,23.73,15.06
Share-QDBT,23.68,17.58
Share-TNBA,23.58,35.62
Share-AMYS,23.48,06.08
Share-HBPQ,23.43,25.99
Share-MUFT,23.38,19.1
Share-BENA,23.31,6.15
Share-EAAY,23.25,32.93
Share-JWSN,23.24,7.28
Share-KMTG,23.21,39.97
Share-EDBI,22.92,32.72
Share-VNFB,22.88,20.99
Share-UTUI,22.78,31.75
Share-TPPD,22.77,15.55
Share-NOLN,22.65,1.2
Share-DSME,22.62,16.53
Share-MLDY,22.61,21.33
Share-SQQK,22.58,32.51
Share-LOJD,22.47,19.19
Share-EDPH,22.43,9.4
Share-VUTC,22.42,10.32
Share-TMYW,22.41,15.97
Share-FNZM,22.38,34.75
Share-NMDR,22.27,32.97
Share-PCHT,22.24,24.96
Share-GFBR,22.19,21.05
Share-GGKK,22.15,11.56
Share-BYJX,22.13,12.48
Share-JEHF,21.92,1.56
Share-DAVZ,21.92,25.21
Share-YRVP,21.91,10.98
Share-PAWY,21.86,32.65
Share-LYIZ,21.79,23.22
Share-CWAN,21.78,5.52
Share-NHRO,21.77,7.48
Share-ZFQR,21.74,38.74
Share-CXGC,21.73,3.43
Share-WAQC,21.71,22.7
Share-JSDR,21.66,27.61
Share-LGHI,21.64,24.62
Share-KQHE,21.63,1.37
Share-NVBN,21.63,30.95
Share-KKQW,21.59,20.33
Share-LYRY,21.56,16.08
Share-ARAY,21.53,13.63
Share-UMCH,21.51,23.28
Share-PRLI,21.38,35.35
Share-DAPQ,21.36,19.57
Share-EPTB,21.32,23.65
Share-XREJ,21.24,4.51
Share-MXAF,21.23,11.2
Share-RJIB,21.22,34.07
Share-UOZD,21.17,30.86
Share-ABJM,21.17,38.29
Share-COUC,20.99,5.93
Share-AHYU,20.99,5.34
Share-DAQE,20.97,10.87
Share-CIYW,20.93,16.45
Share-MIOT,20.91,29.35
Share-XFUI,20.81,32.5
Share-ZGFE,20.76,22.46
Share-RQJV,20.73,31.27
Share-BCVC,20.69,33.51
Share-AUGU,20.67,23.88
Share-FJZC,20.64,30.34
Share-HCCK,20.58,3.21
Share-WIBX,20.58,25.98
Share-QHTF,20.53,15.63
Share-PISF,20.49,7.85
Share-ASGY,20.47,22.18
Share-ZNIY,20.38,24.97
Share-UTIJ,20.36,24.11
Share-OQKF,20.36,25.37
Share-VQOW,20.31,37.12
Share-QFOM,20.24,17.61
Share-EKHC,20.22,23.58
Share-JEHD,20.22,16.62
Share-SNVL,20.19,38.04
Share-QZWX,20.16,24.26
Share-VUOS,20.14,33.88
Share-EINI,20.13,13.01
Share-UEZE,2.93,29.39
Share-KFOG,2.78,33.7
Share-HBXW,2.73,20.92
Share-CSQA,2.71,8.5
Share-CUSU,2.66,32.49
Share-CVLS,2.65,7.14
Share-DLDY,2.62,4.29
Share-YHEL,2.51,10.08
Share-BGDY,2.46,16.15
Share-FLLX,2.35,4.74
Share-GVVO,2.22,28.52
Share-GXSJ,19.93,12.79
Share-WTPW,19.89,25.23
Share-LUSV,19.87,12.06
Share-HPSH,19.77,33.17
Share-MSKF,19.76,3.64
Share-JLNT,19.74,9.74
Share-TMBL,19.74,8.61
Share-FPVA,19.72,18.67
Share-FTYA,19.58,29.72
Share-MHMX,19.48,26.47
Share-RNBA,19.47,6.23
Share-NUZX,19.47,21.97
Share-TUQB,19.32,15.61
Share-GKRC,19.28,27.34
Share-DEMQ,19.25,35.29
Share-PKFS,19.16,25.16
Share-IGUH,19.13,14.3
Share-BZBC,18.85,31.39
Share-CYLI,18.82,20.97
Share-EQFF,18.75,06.05
Share-XOQL,18.72,15.03
Share-PLPK,18.66,17.63
Share-XQOA,18.65,2.68
Share-JKRC,18.58,16.25
Share-RZCT,18.58,23.89
Share-XPQB,18.49,26.41
Share-KZLV,18.43,04.01
Share-SVAM,18.37,18.91
Share-ZWIY,18.36,11.91
Share-YMIE,18.31,12.75
Share-BGVK,18.27,9.33
Share-HSOR,17.87,17.02
Share-MTFR,17.85,29.93
Share-ZUWA,17.84,32.2
Share-VGFO,17.83,31.39
Share-CKEE,17.78,33.02
Share-ARYE,17.62,14.41
Share-EZLR,17.59,19.71
Share-BTKZ,17.55,36.72
Share-HJJZ,17.54,6.56
Share-ZGNB,17.54,37.44
Share-LSFE,17.51,31.47
Share-PEVC,17.51,1.87
Share-EMDG,17.45,6.63
Share-QLMK,17.38,39.49
Share-IPGW,17.24,15.29
Share-QRBH,17.24,33.01
Share-CGJM,17.21,39.3
Share-MJEL,17.19,15.54
Share-KXYC,17.18,15.71
Share-YEZB,17.15,30.28
Share-LPGN,17.14,15.14
Share-WCNO,17.13,32.27
Share-IZTA,16.98,12.84
Share-YPGY,16.97,38.97
Share-QRVU,16.96,35.36
Share-OTBX,16.84,5.86
Share-MVVG,16.81,12.18
Share-SNKS,16.75,39.04
Share-ZDHV,16.64,10.3
Share-GLFC,16.63,4.45
Share-ATAE,16.58,24.47
Share-XUPB,16.58,21.26
Share-LMJG,16.54,29.82
Share-UIMY,16.52,1.83
Share-MTLR,16.49,39.97
Share-FQJZ,16.41,20.04
Share-OBYV,16.39,13.15
Share-VFGQ,16.36,23.61
Share-WQMQ,16.35,34.43
Share-YUTW,16.28,35.71
Share-WJZQ,16.28,1.25
Share-DWPD,16.13,29.87
Share-RNEE,15.93,07.05
Share-AGPL,15.87,15.17
Share-NZHD,15.79,8.53
Share-QLRX,15.72,27.47
Share-PEAZ,15.72,32.53
Share-OXSN,15.68,4.53
Share-RIBY,15.67,35.99
Share-HMVR,15.62,16.57
Share-JHWR,15.51,4.75
Share-YNRH,15.48,20.67
Share-NYKV,15.38,30.95
Share-PXVO,15.37,20.19
Share-TCMQ,15.36,11.69
Share-TVCG,15.27,4.93
Share-MXBC,15.26,13.02
Share-FEMI,15.24,36.37
Share-KRMG,15.22,31.68
Share-PNTD,15.22,10.15
Share-HKEJ,15.19,16.62
Share-DWFW,15.17,16.53
Share-LFLL,15.17,9.49
Share-IYAT,14.95,19.52
Share-LSTK,14.89,32.98
Share-SLZZ,14.87,29.76
Share-KNZG,14.86,13.8
Share-SHCI,14.79,36.82
Share-XRZR,14.78,6.37
Share-HAKK,14.67,1.78
Share-KKAD,14.66,32.19
Share-FVCW,14.48,4.94
Share-MSWM,14.48,2.91
Share-PARA,14.33,1.54
Share-ONTS,14.17,15.48
Share-MOVJ,13.76,23.48
Share-KLCJ,13.75,18.04
Share-RPXU,13.75,26.64
Share-VTYP,13.68,31.22
Share-BCJD,13.65,17.02
Share-CIWC,13.62,25.42
Share-GHFD,13.56,22.81
Share-QUQS,13.43,36.39
Share-NQIL,13.37,24.4
Share-ANXT,13.32,35.6
Share-XINI,13.23,26.15
Share-GRSA,13.0,34.88
Share-QOYO,12.93,36.43
Share-ODXT,12.75,18.69
Share-OBKH,12.62,27.8
Share-RBJP,12.54,11.82
Share-MCUJ,12.51,3.65
Share-NYHH,12.51,6.57
Share-ETOR,12.33,7.35
Share-XUCG,12.25,22.1
Share-YRRO,12.15,16.35
Share-MWDM,11.97,2.81
Share-QFPK,11.96,9.51
Share-WVVQ,11.95,18.45
Share-FXBP,11.87,28.86
Share-GNLH,11.86,23.48
Share-AVUV,11.65,11.66
Share-EIYB,11.49,37.74
Share-KFMR,11.23,28.03
Share-XRRF,11.13,13.29
Share-RUFN,10.88,37.03
Share-JPQM,10.82,14.81
Share-GIAJ,10.75,39.9
Share-PSEN,10.73,34.65
Share-JPLU,10.72,29.16
Share-OFCJ,10.69,34.05
Share-MONJ,10.67,7.47
Share-WIWE,10.65,8.88
Share-CFOZ,10.64,38.21
Share-BJIF,10.56,31.36
Share-QOGS,10.56,12.33
Share-IHOT,10.47,24.64
Share-TUFN,10.37,22.89
Share-XZWG,10.25,33.0
Share-QNMW,10.16,11.13
Share-NVDR,1.99,16.54
Share-JWVH,1.71,10.41
Share-CIIX,1.41,18.22
Share-CBNY,1.22,39.31
Share-VNQN,1.17,18.51
Share-FKJR,0.8,14.73
Share-HITN,0.67,33.49
Share-QSPX,0.6,35.15
Share-CYYC,0.42,5.88
Share-IQMC,0.35,2.81
Share-STKT,0.28,7.79
Share-KGQI,0.23,18.91
Share-DBUJ,0.07,10.73
Share-MLGM,0.01,18.86
Share-AFAJ,29.12,34.82
Share-XPMV,28.12,37.48
Share-XBDW,26.12,9.6
Share-YIOX,26.12,9.22
Share-BQLT,24.12,13.38
Share-DSHU,23.12,29.08
Share-XSSB,22.12,38.25
Share-MAJJ,21.12,6.47
Share-TTXF,20.12,37.0
Share-RQNB,20.12,26.73
Share-KPYM,19.12,20.56
Share-LZLU,12.12,35.54
Share-VVDF,5.12,25.56
Share-QMVF,4.12,8.41
Share-WENI,27.11,34.87
Share-IPUP,26.11,30.68
Share-KVDA,25.11,13.91
Share-WVBR,25.11,2.9
Share-RPNX,25.11,4.58
Share-MYPY,24.11,21.97
Share-GJTI,23.11,10.72
Share-EJFE,19.11,18.07
Share-ZSDE,15.11,39.88
Share-YHLS,6.11,5.79
Share-TECI,30.9,12.34
Share-QQBR,29.9,16.44
Share-NFHZ,28.09,11.42
Share-LDVW,26.9,37.09
Share-GJMI,25.09,30.39
Share-HHFE,25.9,23.95
Share-SOOE,23.09,38.04
Share-ECAB,23.09,32.33
Share-BKOT,22.9,29.4
Share-VQPV,20.9,21.01
Share-ADLV,18.9,4.72
Share-PJBF,17.09,19.7
Share-YUVN,15.09,13.82
Share-HRKX,14.09,33.42
Share-PUDT,10.9,3.97
Share-VPPA,04.09,2.15
Share-RCCP,02.09,35.32
Share-OMOF,30.8,18.36
Share-JMGY,28.8,3.11
Share-JGEU,27.08,25.8
Share-PSZU,25.8,13.44
Share-NOIQ,24.08,36.81
Share-VMPZ,24.08,10.5
